Date,Description,Amount,Type,Category
2024-09-17,Interest why minute data light above.,264.79,debit,Dining
2024-05-09,Star late fight treat.,11.61,debit,Groceries
2024-12-23,Actually how family first moment.,137.36,debit,Groceries
2024-07-19,Radio somebody maintain instead police course once rise.,353.69,debit,Groceries
2024-05-04,Live difference always.,3563.17,credit,Income
2025-01-19,Language garden thank bill.,356.88,debit,Salary
2024-11-22,Data share young involve appear upon general through.,1267.44,credit,Income
2025-01-18,Town town within probably report kind show.,4105.97,credit,Income
2024-12-21,Suggest foreign the room tax policy.,1351.76,credit,Income
2024-11-11,Particularly blood evidence conference.,4022.42,credit,Income
2024-07-17,Focus his report anyone public center return.,55.02,debit,Entertainment
2024-04-05,More these mention enjoy popular.,3450.84,credit,Income
2024-06-20,Among billion century fill project north side.,458.03,debit,Groceries
2025-02-05,Your fine before better.,344.22,debit,Salary
2024-08-18,Movement around record must.,56.36,debit,Entertainment
2024-04-15,Design exist live beat card someone.,4437.66,credit,Income
2024-12-31,Amount job himself card avoid.,3590.92,credit,Income
2024-11-14,Collection senior American.,2726.3,credit,Income
2024-07-26,Finish pattern debate leader question assume hotel.,157.35,debit,Transportation
2024-09-24,As to us.,17.56,debit,Utilities
2024-04-04,Lead have contain happen my near.,29.53,debit,Rent
2024-11-24,Simple quickly would head wrong walk who floor.,291.25,debit,Rent
2025-03-05,Risk stop different dinner available behind theory.,4845.44,credit,Income
2024-08-11,Event growth home look.,3761.0,credit,Income
2024-05-14,Themselves main more central.,2726.22,credit,Income
2024-09-19,Own matter color Democrat hotel.,295.9,debit,Transportation
2024-11-21,Cold might life too apply true.,3418.65,credit,Income
2024-05-18,Into hour both.,1760.96,credit,Income
2024-12-19,Measure child husband box commercial everybody door point.,374.04,debit,Rent
2025-03-19,Would mean begin offer.,263.92,debit,Utilities
2024-08-06,Better of show everybody effort indeed fact.,2276.62,credit,Income
2024-12-15,Truth alone believe important.,1600.55,credit,Income
2025-03-12,Fast pick exactly should weight peace.,4339.93,credit,Income
2025-03-11,Purpose upon Mrs score admit stage.,418.02,debit,Rent
2025-02-08,Anything kid will car better.,434.25,debit,Salary
2024-10-14,Approach their skin soon manager consider off team.,445.93,debit,Utilities
2024-07-20,Picture wrong in.,1957.33,credit,Income
2024-05-20,School cell whom trouble black.,150.68,debit,Transportation
2024-08-13,Interesting occur newspaper when.,3511.08,credit,Income
2024-04-05,Law wind light hope lose girl somebody.,226.28,debit,Entertainment
2024-03-28,Prevent mother and.,1661.74,credit,Income
2024-10-31,Condition camera technology option back alone relationship continue.,294.32,debit,Groceries
2024-09-04,Value particularly relationship measure meeting PM.,4337.47,credit,Income
2025-01-22,Decision side must through billion.,328.35,debit,Salary
2024-11-02,Should live why reality eat.,280.94,debit,Healthcare
2024-09-28,Ago media nearly kid no.,363.79,debit,Salary
2024-10-23,Foot nearly standard force just reflect wind.,1031.12,credit,Income
2024-06-11,Kitchen relationship there street.,311.0,debit,Rent
2024-05-26,Also beyond religious catch bed wide.,1843.86,credit,Income
2024-04-22,Station recognize produce very.,4200.72,credit,Income
2025-03-03,Perhaps charge what reduce large defense great.,395.14,debit,Transportation
2024-07-10,Girl I our allow medical.,4771.37,credit,Income
2024-11-30,Sea continue interest.,4471.82,credit,Income
2024-12-31,Area establish to kitchen weight hotel huge.,86.34,debit,Salary
2024-10-27,Nature say rate expect wonder.,299.67,debit,Utilities
2024-12-22,Believe ahead heavy road next discover.,4817.71,credit,Income
2024-10-02,Skin reflect indicate collection government five.,3202.42,credit,Income
2024-07-19,Age her approach but group recently.,407.7,debit,Healthcare
2024-04-10,Treatment speak beyond open through.,291.77,debit,Rent
2024-12-24,Behavior boy individual city avoid now.,1602.97,credit,Income
2024-12-11,Tend southern create them guy major.,143.2,debit,Rent
2024-11-21,Along avoid model off.,2149.6,credit,Income
2025-03-11,Economic similar young.,115.72,debit,Groceries
2025-01-13,Miss catch about a.,337.97,debit,Groceries
2024-12-13,World may word man value.,60.34,debit,Groceries
2024-05-25,Social financial serve article.,4077.04,credit,Income
2025-02-12,Rather attack film them.,469.02,debit,Transportation
2024-08-13,Boy hour poor rise agree understand.,2302.12,credit,Income
2024-05-03,Decade finish despite.,1539.84,credit,Income
2024-12-02,Rate top decade artist in heart.,3815.9,credit,Income
2025-01-15,Move rich group fire space.,4190.75,credit,Income
2024-04-14,Lawyer piece politics everything.,112.91,debit,Entertainment
2024-12-22,Available man become also western.,1085.53,credit,Income
2025-01-05,Sort of but necessary.,1208.94,credit,Income
2024-04-10,Probably bed power bad start data.,269.96,debit,Transportation
2024-10-21,Value him tree.,129.88,debit,Utilities
2024-05-15,Lot face responsibility only allow speak.,376.33,debit,Healthcare
2024-12-06,Both phone today million government.,81.26,debit,Salary
2024-11-04,Perhaps board reach live health.,4291.62,credit,Income
2024-06-18,Job focus artist hold.,104.33,debit,Entertainment
2024-06-12,Join ago home heavy long character school.,4677.53,credit,Income
2025-01-12,True book agency hit.,2315.98,credit,Income
2025-02-28,Side how report body.,499.74,debit,Dining
2024-06-25,Serious against prevent skill.,298.43,debit,Healthcare
2025-02-12,Better protect large education.,35.14,debit,Rent
2024-11-13,Space test peace middle.,1640.43,credit,Income
2025-03-20,Where tax agree four walk treatment almost.,4616.26,credit,Income
2024-06-26,Condition final from myself race son none item.,1376.78,credit,Income
2024-07-09,Three decision party over.,4392.01,credit,Income
2024-12-08,Million herself collection much person agree audience.,8.63,debit,Utilities
2024-09-28,However performance reach measure successful.,3193.43,credit,Income
2024-07-08,Management economic investment exist mission.,374.65,debit,Entertainment
2024-12-03,Best tax energy force however box grow high.,37.65,debit,Dining
2024-07-29,Along material race which lead eye reflect.,1021.27,credit,Income
2024-10-21,Affect world give become.,3297.22,credit,Income
2025-02-05,Visit control continue foreign remember bill learn.,409.48,debit,Salary
2025-02-05,Wide do base list move above.,4547.69,credit,Income
2024-05-22,Memory plant yet war commercial beyond human.,3008.54,credit,Income
2025-03-16,Stay everybody tend list tell.,1993.63,credit,Income
2024-09-21,Tonight reflect finish weight.,345.03,debit,Entertainment
2025-01-28,Popular fast impact system world.,2058.64,credit,Income
2024-10-15,Pressure leg two author move policy.,3984.24,credit,Income
2024-12-05,Myself his school here.,498.74,debit,Healthcare
2024-08-13,Former artist dinner travel thousand wind sort.,433.12,debit,Healthcare
2024-05-23,Available security all may item series staff.,44.78,debit,Groceries
2024-10-21,Miss begin doctor image activity window nature.,371.76,debit,Transportation
2025-01-23,Amount bit drop nearly fear total summer.,2396.23,credit,Income
2024-05-22,Agree participant kitchen second decide activity.,318.45,debit,Utilities
2024-09-30,Page in assume dream whom space.,2932.47,credit,Income
2024-08-09,Than condition successful suffer black.,4502.53,credit,Income
2024-04-11,Remember natural more find.,388.0,debit,Healthcare
2024-11-19,Now recently cut focus.,2690.6,credit,Income
2024-10-07,Social box school daughter college field article prepare.,219.34,debit,Rent
2024-12-13,Serious door set generation choice water.,148.29,debit,Groceries
2024-06-12,Side color church culture.,126.72,debit,Entertainment
2024-10-26,Child green good treatment nice.,48.14,debit,Groceries
2024-12-15,Major each stock approach go argue take.,483.15,debit,Healthcare
2024-11-05,Wait garden candidate easy fund share final.,312.53,debit,Dining
2024-12-28,Win with agree enjoy thing better.,257.59,debit,Rent
2025-03-07,Whose toward risk sign experience.,294.17,debit,Groceries
2024-07-18,Imagine American once question a someone animal.,4132.73,credit,Income
2024-06-14,Seven staff degree get chair understand south those.,137.13,debit,Transportation
2024-05-05,Maybe bag point drug they month move our.,453.14,debit,Entertainment
2024-06-08,Hair seek team usually task southern.,87.05,debit,Salary
2024-08-05,Any stuff follow little institution.,1373.75,credit,Income
2024-11-14,Sport agency together care every.,364.89,debit,Utilities
2024-05-07,Visit series tonight dark rule whether through college.,187.86,debit,Salary
2024-12-21,Recently economic add evening magazine build life.,264.95,debit,Utilities
2025-02-10,Lead smile thank and.,391.74,debit,Entertainment
2025-02-24,Who tree growth try it against score.,409.79,debit,Salary
2024-09-28,Already again most.,2539.5,credit,Income
2024-10-11,Cut game section choose.,381.77,debit,Groceries
2025-03-04,Relate do scene value cultural.,298.47,debit,Entertainment
2024-12-23,Threat son range trouble court.,251.4,debit,Utilities
2024-12-12,Stock kind like remember think.,2195.81,credit,Income
2024-11-13,Economy study since president.,3064.26,credit,Income
2025-03-01,Draw believe already event.,1025.6,credit,Income
2024-09-10,Only ok bit its partner statement word.,369.16,debit,Rent
2024-06-15,Half score yourself any.,3880.03,credit,Income
2024-09-28,Result skin building difficult lay.,464.72,debit,Healthcare
2024-09-24,Wonder tax season.,3311.31,credit,Income
2024-08-28,Society even market attack.,3520.38,credit,Income
2025-03-06,Dog central right do mention.,362.73,debit,Entertainment
2024-12-22,Finish others she store.,2882.53,credit,Income
2024-04-24,Think floor course.,316.49,debit,Entertainment
2024-07-14,Modern right way hope action record that.,2950.92,credit,Income
2024-11-08,Listen sense carry.,3246.31,credit,Income
2024-11-11,Game so although mother way point discover.,3411.0,credit,Income
2024-09-30,According three walk easy mouth expect deal try.,496.36,debit,Transportation
2025-01-14,Adult camera opportunity likely.,95.21,debit,Healthcare
2024-06-03,Item long sign election first.,413.88,debit,Utilities
2025-01-05,Measure test positive shake.,435.85,debit,Rent
2024-12-12,Sort color answer research.,318.83,debit,Rent
2024-09-13,For dark our poor.,3926.47,credit,Income
2025-01-25,Market song kid part reflect design.,436.55,debit,Utilities
2025-02-28,North effect usually heart later.,16.6,debit,Entertainment
2024-12-19,Young international team focus may radio.,3573.57,credit,Income
2024-12-16,Account PM forward great last to.,208.83,debit,Transportation
2024-03-24,After morning heart local base.,256.07,debit,Groceries
2024-12-20,Building effect thus yes long.,388.52,debit,Dining
2024-04-11,Him standard ability perhaps ever idea.,345.22,debit,Transportation
2024-11-25,Most power hot meeting opportunity.,445.93,debit,Healthcare
2024-10-26,Away hope material large teacher.,276.32,debit,Utilities
2024-11-19,One watch take check better tell.,4488.99,credit,Income
2024-07-15,Allow appear throw age.,267.65,debit,Dining
2025-02-01,Management international simply involve.,1009.57,credit,Income
2024-05-25,Building defense big employee.,170.06,debit,Dining
2025-03-02,Only statement everybody sense focus issue data ten.,1472.67,credit,Income
2025-02-08,That human call knowledge.,4996.77,credit,Income
2024-07-07,Tree goal away room role show time clearly.,1435.82,credit,Income
2025-02-26,Can near after six source discuss.,414.41,debit,Dining
2024-12-16,Pressure discussion offer.,4281.13,credit,Income
2024-06-04,Subject girl child purpose growth somebody.,86.13,debit,Entertainment
2024-09-25,Least face surface sound way anyone along.,395.56,debit,Healthcare
2024-10-31,Soldier student become lot myself quickly along.,1837.36,credit,Income
2024-06-12,Your space top rise politics former.,2611.22,credit,Income
2024-11-24,Break economic upon.,4044.0,credit,Income
2024-08-23,Interview long produce science race cup.,2140.99,credit,Income
2024-12-02,Represent lose follow produce TV forward enjoy.,2419.6,credit,Income
2024-03-27,Movement become carry network.,3032.21,credit,Income
2024-07-20,Apply final scientist.,96.58,debit,Groceries
2025-03-08,Religious such today kitchen ever.,4846.8,credit,Income
2024-03-27,World which military month.,221.54,debit,Entertainment
2024-06-25,Truth represent happen rest.,11.54,debit,Groceries
2025-02-22,Certainly bag fund sport direction wall.,4903.82,credit,Income
2024-11-15,Number stuff every tough site company.,383.26,debit,Rent
2025-03-07,Significant hard development it participant as.,233.8,debit,Groceries
2024-09-28,Woman thought on clearly very.,479.26,debit,Utilities
2025-02-26,Involve American apply mission.,304.27,debit,Healthcare
2025-01-23,Growth she describe seven left town several.,1492.41,credit,Income
2024-07-01,Education opportunity area suffer stuff.,1759.28,credit,Income
2024-10-29,Next candidate realize citizen while.,385.97,debit,Transportation
2025-02-10,Recently letter store.,2763.4,credit,Income
2024-12-26,Ball baby happen probably.,1515.23,credit,Income
2024-06-28,Black worry low firm.,3301.46,credit,Income
2024-08-02,Rock land price within company study.,81.13,debit,Utilities
2025-01-17,Receive story list bag sign.,3060.92,credit,Income
2024-11-24,Exist figure often stuff sense more.,87.85,debit,Rent
2025-01-22,Body floor film American study upon teach.,3194.4,credit,Income
2025-02-17,Employee education knowledge new sit.,3128.46,credit,Income
2024-05-13,Account environment common couple.,292.96,debit,Healthcare
2024-09-10,Represent with will lose there indeed show.,1131.53,credit,Income
2025-01-11,Painting choice similar away tell avoid purpose.,113.97,debit,Salary
2024-08-12,Rich ever call beat morning what physical.,10.27,debit,Rent
2024-06-01,Recognize level several writer.,1039.92,credit,Income
2024-07-19,Various tonight I debate them look.,411.62,debit,Utilities
2024-06-20,Finish foreign development building bad month manage.,4152.6,credit,Income
2024-07-05,Government candidate themselves opportunity shoulder never house bill.,3161.07,credit,Income
2024-11-13,Indeed move price investment knowledge tonight discuss.,1469.97,credit,Income
2024-04-23,Find human special debate history number indeed.,1873.97,credit,Income
2024-11-06,Various language letter.,4503.92,credit,Income
2024-11-29,Never parent leg board available stuff.,3636.7,credit,Income
2024-06-21,Left stop with gun number until a.,142.4,debit,Transportation
2024-07-12,Expect song play will finish street maintain.,437.82,debit,Groceries
2024-10-24,Doctor size day sell Republican.,209.04,debit,Healthcare
2024-10-16,Stuff and laugh her its movement.,1181.27,credit,Income
2024-05-27,Say knowledge view night bill base.,2220.3,credit,Income
2024-05-02,Culture whatever case information everybody between.,282.54,debit,Rent
2024-09-04,Hundred interest behavior offer require example.,299.6,debit,Utilities
2025-02-01,Talk walk kitchen speech door offer issue order.,114.04,debit,Rent
2024-12-19,Order nation cover such.,385.42,debit,Dining
2024-10-29,Why really year imagine service government government from.,13.84,debit,Groceries
2024-10-29,Learn agency town.,2118.61,credit,Income
2025-01-26,Protect statement both central yourself should must.,4221.09,credit,Income
2024-06-26,Positive show director opportunity nature clear think four.,4131.62,credit,Income
2024-10-05,Past situation lay each per great happy sell.,4316.32,credit,Income
2024-04-23,May white company table important.,464.58,debit,Groceries
2024-05-29,Per production hear eye serious seat free.,463.43,debit,Entertainment
2024-05-25,Should market ten participant.,2314.2,credit,Income
2025-01-10,Statement south money long two reflect without.,445.96,debit,Salary
2025-01-17,There part top certainly power live blue.,3932.88,credit,Income
2024-09-12,Build attack carry improve instead war.,139.43,debit,Groceries
2025-01-20,Five respond sense board too race fly poor.,1023.88,credit,Income
2025-02-27,Common analysis rise compare say.,1076.08,credit,Income
2024-10-16,Their call prepare real a school exist.,415.64,debit,Dining
2025-02-15,Blue concern data similar trip defense.,491.5,debit,Dining
2025-02-21,Health bag office spend conference set office edge.,3941.23,credit,Income
2024-09-26,Push today any learn market sing mind.,2125.95,credit,Income
2024-12-04,Who study American student relationship benefit eight.,248.62,debit,Transportation
2024-05-28,Cold alone magazine range security eye.,1221.87,credit,Income
2024-12-19,Beat job board.,396.14,debit,Groceries
2024-12-11,Result whose service become similar short entire.,85.03,debit,Entertainment
2024-10-11,Become also minute term.,4730.39,credit,Income
2025-03-05,Company determine leader lay.,1886.43,credit,Income
2024-05-21,Star than skill wife weight at concern.,315.2,debit,Salary
2024-06-13,Charge PM try maintain data.,3281.4,credit,Income
2024-07-09,Coach officer career conference city put son no.,3674.06,credit,Income
2024-07-03,Team door theory in lot practice.,4622.01,credit,Income
2024-04-20,Shoulder relate like both how four.,70.95,debit,Utilities
2024-06-15,Quickly fight word campaign discussion indicate cold.,4095.64,credit,Income
2024-10-23,Figure pay model draw smile once today.,3620.06,credit,Income
2024-08-09,Here success time us special do ready.,2448.86,credit,Income
2024-07-03,Make early sister nation lose sound people between.,198.9,debit,Healthcare
2024-06-18,Forward sing information baby ever.,3007.27,credit,Income
2024-12-15,Benefit billion recent huge.,3685.37,credit,Income
2024-05-02,Develop source arm dark about doctor.,51.52,debit,Transportation
2024-06-18,Big performance cost.,3321.57,credit,Income
2024-11-22,Moment economy that career born page.,295.85,debit,Transportation
2024-06-13,Sometimes prove step project.,198.11,debit,Transportation
2024-06-24,Camera song less nothing.,4195.6,credit,Income
2024-11-11,Near party some trial edge art experience.,1958.28,credit,Income
2025-03-16,Story which instead city any put.,484.87,debit,Rent
2024-07-29,Land subject word a student again.,129.8,debit,Dining
2024-07-18,Expect that make western sport return say.,409.81,debit,Utilities
2025-02-19,Nation name suggest buy teacher involve.,4952.29,credit,Income
2024-07-22,Stay value weight oil hospital garden.,2266.68,credit,Income
2024-06-01,Win why detail none.,77.19,debit,Utilities
2024-06-22,Control less product own find body.,3556.12,credit,Income
2024-07-02,Spring receive cold piece ok.,495.05,debit,Entertainment
2024-08-25,Detail response college check company how.,3010.68,credit,Income
2024-06-26,Provide account since report.,297.69,debit,Transportation
2024-10-03,Meeting company style three relate.,23.84,debit,Transportation
2024-10-28,Administration food word myself alone.,3248.03,credit,Income
2024-04-03,Must sister director join well protect whom.,160.37,debit,Salary
2025-03-01,Member behind program enjoy start gun within.,470.43,debit,Groceries
2025-01-09,Situation rate instead.,435.19,debit,Salary
2024-10-01,Difference he country collection.,1038.55,credit,Income
2025-02-04,Newspaper administration much behavior her.,216.37,debit,Dining
2024-07-06,Community letter while for.,78.61,debit,Dining
2024-08-16,Table join throughout practice.,3379.07,credit,Income
2025-02-25,Two agency free impact help budget hope.,435.2,debit,Salary
2024-04-10,Well writer lose chair successful.,4251.51,credit,Income
2024-11-12,Force local bit president language who.,227.61,debit,Groceries
2025-01-19,Majority note he call attention he.,334.89,debit,Dining
2025-01-06,Nature argue most.,1688.45,credit,Income
2024-06-01,Answer size field wife.,4455.99,credit,Income
2024-09-19,Carry part term sport court outside face simple.,151.31,debit,Rent
2025-01-13,Financial human list four authority culture.,337.58,debit,Utilities
2024-09-15,Social special let without audience white positive.,122.7,debit,Groceries
2024-04-02,Tv free mention.,1178.71,credit,Income
2024-10-29,Herself may study hand over.,1567.77,credit,Income
2024-04-18,How various executive draw any.,3342.31,credit,Income
